Ticker,MAPE_Pct,Predictions_Checked,Best_Pct,Worst_Pct,Reliability
SBIN.NS,0.97,250,0.01,4.42,Excellent
POWERGRID.NS,1.0,250,0.0,4.72,Excellent
NTPC.NS,1.03,250,0.0,3.99,Excellent
SUNPHARMA.NS,1.06,249,0.0,5.08,Excellent
APOLLOHOSP.NS,1.07,249,0.01,5.07,Excellent
ITC.NS,1.07,250,0.0,6.15,Excellent
HDFCBANK.NS,1.07,250,0.0,8.26,Excellent
GRASIM.NS,1.07,250,0.01,5.15,Excellent
BRITANNIA.NS,1.08,249,0.0,4.83,Excellent
LT.NS,1.11,250,0.01,6.27,Excellent
ULTRACEMCO.NS,1.12,249,0.0,6.57,Excellent
TATACONSUM.NS,1.13,250,0.0,5.05,Excellent
ICICIBANK.NS,1.13,249,0.0,3.7,Excellent
HINDUNILVR.NS,1.14,249,0.0,4.19,Excellent
NESTLEIND.NS,1.15,250,0.0,4.91,Excellent
SBILIFE.NS,1.15,249,0.0,5.53,Excellent
TITAN.NS,1.16,249,0.0,5.03,Excellent
CIPLA.NS,1.19,249,0.01,6.16,Excellent
COALINDIA.NS,1.21,250,0.0,5.49,Excellent
JSWSTEEL.NS,1.21,249,0.0,5.04,Excellent
ADANIPORTS.NS,1.23,249,0.0,6.36,Excellent
BAJAJFINSV.NS,1.25,249,0.0,4.13,Excellent
ONGC.NS,1.25,250,0.0,6.57,Excellent
BAJAJ-AUTO.NS,1.27,249,0.0,12.11,Excellent
AXISBANK.NS,1.27,249,0.0,6.16,Excellent
RELIANCE.NS,1.28,250,0.01,9.83,Excellent
TATASTEEL.NS,1.31,250,0.0,4.9,Excellent
KOTAKBANK.NS,1.36,250,0.01,11.24,Excellent
ASIANPAINT.NS,1.37,249,0.02,4.74,Excellent
MARUTI.NS,1.42,250,0.01,7.65,Excellent
EICHERMOT.NS,1.43,249,0.0,8.28,Excellent
INDUSINDBK.NS,1.46,250,0.02,5.96,Excellent
BAJFINANCE.NS,1.47,249,0.01,5.57,Excellent
WIPRO.NS,1.49,250,0.0,6.55,Excellent
HDFCLIFE.NS,1.52,250,0.01,7.61,Excellent
M&M.NS,1.54,249,0.0,6.4,Excellent
BPCL.NS,1.57,250,0.02,8.5,Excellent
DIVISLAB.NS,1.6,249,0.02,11.34,Excellent
HINDALCO.NS,1.61,250,0.0,5.7,Excellent
BHARTIARTL.NS,1.64,249,0.0,6.68,Excellent
INFY.NS,1.81,250,0.01,8.31,Excellent
ADANIENT.NS,1.85,250,0.0,9.37,Excellent
TECHM.NS,1.88,249,0.02,16.82,Excellent
LTF.NS,1.95,249,0.0,8.34,Excellent
TCS.NS,1.96,250,0.01,20.67,Excellent
DRREDDY.NS,1.97,250,0.01,18.33,Excellent
HEROMOTOCO.NS,1.97,249,0.02,6.17,Excellent
UPL.NS,2.09,249,0.0,9.47,Good
HCLTECH.NS,2.3,249,0.0,23.72,Good
